No. Urut,Ref,Tgl Ref,No. Ref,No. Dok Ref,Kode Cust,Nama Cust,Alamat Cust,Kode Panel,Nama Panel,Kode Sales,Nama Sales,Keterangan,Pajak,Kategori Pjk,Kode Barang,Nama Jns Brg,Ket Ref,Qty,Sat,Qty Std,Sat Std,Harga (+),Harga Sbl (+),Harga Unit(Mu),Total(MU),Disc. 1 (%),Disc. 1 (MU),Disc. 2 (%),Disc. 2 (MU),Disc. 3 (%),Disc. 3 (MU),Disc. 4 (MU),Disc. 5 (%),Disc. 5 (MU),Disc. 6 (MU),Subtot Disc(Mu),Subtot(Mu),Hrg Unit Riil(Mu),Total Riil(Mu),Subtot Disc Riil(Mu),Subtot Riil(Mu),Disc Akh(Mu),Subtot Net(Mu),Pjk(Mu),Subtot Net Pjk(Mu),Kode Kota,Nama Kota
46.,FJ,07/05/2025,2505-MX0117,2505-MX0117,110--KUL0714,ADIN ( KULIBUAH MEKAR ),MARDIKA,,,SL12,Erwin Taneo,,PPN,Include,4100000852,,D,4.00,RTG,48.00,PCS,0.00,"10,725.60","10,725.60","42,902.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,902.40","9,662.70","38,650.81",0.00,"38,650.81",0.00,"38,650.81","4,251.59","42,902.40",AMBON,AMBON
47.,FJ,07/05/2025,2505-MX0117,2505-MX0117,110--KUL0714,ADIN ( KULIBUAH MEKAR ),MARDIKA,,,SL12,Erwin Taneo,,PPN,Include,4100000804,,D,4.00,RTG,48.00,PCS,0.00,"10,725.60","10,725.60","42,902.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,902.40","9,662.70","38,650.81",0.00,"38,650.81",0.00,"38,650.81","4,251.59","42,902.40",AMBON,AMBON
48.,FJ,07/05/2025,2505-MX0117,2505-MX0117,110--KUL0714,ADIN ( KULIBUAH MEKAR ),MARDIKA,,,SL12,Erwin Taneo,,PPN,Include,4100000601.,,D,4.00,RCG,48.00,PCS,0.00,"10,725.60","10,725.60","42,902.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,902.40","9,662.70","38,650.81",0.00,"38,650.81",0.00,"38,650.81","4,251.59","42,902.40",AMBON,AMBON
55.,FJ,07/05/2025,2505-MX0142,2505-MX0142,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100001212.,,D,12.00,CRT,720.00,PCS,0.00,"102,300.00","102,300.00","1,227,600.00",3.00,"3,069.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"36,828.00","1,190,772.00","92,162.16","1,105,945.95","33,178.38","1,072,767.57",0.00,"1,072,767.57","118,004.43","1,190,772.00",JAKARTA,JAKARTA
56.,FJ,07/05/2025,2505-MX0144,2505-MX0144,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100000852,,D,1.00,CRT,240.00,PCS,0.00,"214,512.00","214,512.00","214,512.00",15.00,"32,176.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"32,176.80","182,335.20","193,254.05","193,254.06","28,988.11","164,265.95",0.00,"164,265.95","18,069.25","182,335.20",JAKARTA,JAKARTA
57.,FJ,07/05/2025,2505-MX0145,2505-MX0145,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100001284,,D,1.00,CRT,24.00,PCS,0.00,"111,600.00","115,200.00","115,200.00",15.00,"17,280.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,280.00","97,920.00","103,783.78","103,783.79","15,567.57","88,216.22",0.00,"88,216.22","9,703.78","97,920.00",JAKARTA,JAKARTA
58.,FJ,07/05/2025,2505-MX0145,2505-MX0145,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100001212.,,D,2.00,CRT,120.00,PCS,0.00,"102,300.00","102,300.00","204,600.00",3.00,"3,069.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,138.00","198,462.00","92,162.16","184,324.32","5,529.73","178,794.59",0.00,"178,794.59","19,667.41","198,462.00",JAKARTA,JAKARTA
59.,FJ,07/05/2025,2505-MX0145,2505-MX0145,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100000987,,D,1.00,CRT,16.00,PCS,0.00,"132,000.00","132,000.00","132,000.00",15.00,"19,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,800.00","112,200.00","118,918.92","118,918.92","17,837.84","101,081.08",0.00,"101,081.08","11,118.92","112,200.00",JAKARTA,JAKARTA
158.,FJ,07/05/2025,2505-MX0118,2505-MX0118,KV00185,CV PLANET,JL. DIPONEGORO NO 21,,,SL12,FENDRY,,PPN,Include,4100000601.,,D,3.00,CRT,720.00,PCS,0.00,"214,512.00","214,512.00","643,536.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"643,536.00","193,254.05","579,762.16",0.00,"579,762.16",0.00,"579,762.16","63,773.84","643,536.00",AMBON,AMBON
159.,FJ,07/05/2025,2505-MX0118,2505-MX0118,KV00185,CV PLANET,JL. DIPONEGORO NO 21,,,SL12,FENDRY,,PPN,Include,4100000450,,D,3.00,CRT,36.00,PCS,0.00,"276,000.00","276,000.00","828,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"828,000.00","248,648.65","745,945.95",0.00,"745,945.95",0.00,"745,945.95","82,054.05","828,000.00",AMBON,AMBON
193.,FJ,07/05/2025,2505-MX0116,2505-MX0116,KV00946,UNIVERSAL,JL.SAM RATULANGI,,,SL12,Erwin Taneo,,PPN,Include,4100000575,,D,2.00,CRT,24.00,PCS,0.00,"266,400.00","266,400.00","532,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"532,800.00","240,000.00","480,000.00",0.00,"480,000.00",0.00,"480,000.00","52,800.00","532,800.00",AMBON,AMBON
33.,FJ,08/05/2025,2505-MX0154,2505-MX0154,110--FAJ0891,FAJRIN,WAIHERU,,,SL12,Erwin Taneo,,PPN,Include,41000001424,,D,1.00,BALL,12.00,PAK,0.00,"90,000.00","90,000.00","90,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"90,000.00","81,081.08","81,081.08",0.00,"81,081.08",0.00,"81,081.08","8,918.92","90,000.00",AMBON,AMBON
34.,FJ,08/05/2025,2505-MX0154,2505-MX0154,110--FAJ0891,FAJRIN,WAIHERU,,,SL12,Erwin Taneo,,PPN,Include,4100001425,,D,1.00,BAL,12.00,PAK,0.00,"100,000.08","100,000.08","100,000.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"100,000.08","90,090.16","90,090.16",0.00,"90,090.16",0.00,"90,090.16","9,909.92","100,000.08",AMBON,AMBON
49.,FJ,08/05/2025,2505-MX0155,2505-MX0155,110--LA0630,LA MUHU,WAIHERU,,,SL12,Erwin Taneo,,PPN,Include,4100000601.,,D,4.00,RCG,48.00,PCS,0.00,"10,725.60","10,725.60","42,902.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,902.40","9,662.70","38,650.81",0.00,"38,650.81",0.00,"38,650.81","4,251.59","42,902.40",AMBON,AMBON
50.,FJ,08/05/2025,2505-MX0155,2505-MX0155,110--LA0630,LA MUHU,WAIHERU,,,SL12,Erwin Taneo,,PPN,Include,4100000804,,D,4.00,RTG,48.00,PCS,0.00,"10,725.60","10,725.60","42,902.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,902.40","9,662.70","38,650.81",0.00,"38,650.81",0.00,"38,650.81","4,251.59","42,902.40",AMBON,AMBON
98.,FJ,08/05/2025,2505-MX0153,2505-MX0153,CUST0123,PALMA,PASSO,,,SL12,Erwin Taneo,,PPN,Include,4100001212.,,D,2.00,CRT,120.00,PCS,0.00,"102,300.00","102,300.00","204,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"204,600.00","92,162.16","184,324.32",0.00,"184,324.32",0.00,"184,324.32","20,275.68","204,600.00",AMBON,AMBON
168.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000967,,D,12.00,PCS,12.00,PCS,0.00,"13,622.73","13,622.73","163,472.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"163,472.76","12,272.73","147,272.76",0.00,"147,272.76",0.00,"147,272.76","16,200.00","163,472.76",AMBON,AMBON
169.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000852,,D,6.00,RTG,72.00,PCS,0.00,"10,725.60","10,725.60","64,353.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"64,353.60","9,662.70","57,976.22",0.00,"57,976.22",0.00,"57,976.22","6,377.38","64,353.60",AMBON,AMBON
170.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000804,,D,6.00,RTG,72.00,PCS,0.00,"10,725.60","10,725.60","64,353.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"64,353.60","9,662.70","57,976.22",0.00,"57,976.22",0.00,"57,976.22","6,377.38","64,353.60",AMBON,AMBON
171.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000894,,D,12.00,PCS,12.00,PCS,0.00,"5,300.00","5,300.00","63,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"63,600.00","4,774.77","57,297.30",0.00,"57,297.30",0.00,"57,297.30","6,302.70","63,600.00",AMBON,AMBON
172.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,41000001223,,D,6.00,PCS,6.00,PCS,0.00,"8,958.34","8,958.34","53,750.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"53,750.04","8,070.58","48,423.46",0.00,"48,423.46",0.00,"48,423.46","5,326.58","53,750.04",AMBON,AMBON
173.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000356,,D,12.00,PCS,12.00,PCS,0.00,"8,600.00","8,600.00","103,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"103,200.00","7,747.75","92,972.97",0.00,"92,972.97",0.00,"92,972.97","10,227.03","103,200.00",AMBON,AMBON
174.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000871,,D,2.00,RTG,2.00,RTG,0.00,"22,000.00","22,000.00","44,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"44,000.00","19,819.82","39,639.64",0.00,"39,639.64",0.00,"39,639.64","4,360.36","44,000.00",AMBON,AMBON
175.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000875,,D,2.00,RTG,20.00,PCS,0.00,"22,000.00","22,000.00","44,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"44,000.00","19,819.82","39,639.64",0.00,"39,639.64",0.00,"39,639.64","4,360.36","44,000.00",AMBON,AMBON
176.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000447,,D,1.00,CRT,24.00,PCS,0.00,"138,000.00","138,000.00","138,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"138,000.00","124,324.32","124,324.32",0.00,"124,324.32",0.00,"124,324.32","13,675.68","138,000.00",AMBON,AMBON
177.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000445,,D,1.00,CRT,24.00,PCS,0.00,"138,000.00","138,000.00","138,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"138,000.00","124,324.32","124,324.32",0.00,"124,324.32",0.00,"124,324.32","13,675.68","138,000.00",AMBON,AMBON
178.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100001220,,D,10.00,PACK,30.00,PCS,0.00,"5,850.00","5,850.00","58,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"58,500.00","5,270.27","52,702.70",0.00,"52,702.70",0.00,"52,702.70","5,797.30","58,500.00",AMBON,AMBON
179.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100001225,,D,1.00,BOX,30.00,PCS,0.00,"58,500.00","58,500.00","58,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"58,500.00","52,702.70","52,702.70",0.00,"52,702.70",0.00,"52,702.70","5,797.30","58,500.00",AMBON,AMBON
180.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,41000001415,,D,1.00,BOX,15.00,PCS,0.00,"30,937.50","30,937.50","30,937.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,937.50","27,871.62","27,871.62",0.00,"27,871.62",0.00,"27,871.62","3,065.88","30,937.50",AMBON,AMBON
181.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000909,,D,1.00,CRT,16.00,PCS,0.00,"132,000.00","132,000.00","132,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"132,000.00","118,918.92","118,918.92",0.00,"118,918.92",0.00,"118,918.92","13,081.08","132,000.00",AMBON,AMBON
182.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100000920,,D,1.00,CRT,16.00,PCS,0.00,"132,000.00","132,000.00","132,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"132,000.00","118,918.92","118,918.92",0.00,"118,918.92",0.00,"118,918.92","13,081.08","132,000.00",AMBON,AMBON
183.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100001284,,D,1.00,CRT,24.00,PCS,0.00,"111,600.00","111,600.00","111,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"111,600.00","100,540.54","100,540.54",0.00,"100,540.54",0.00,"100,540.54","11,059.46","111,600.00",AMBON,AMBON
184.,FJ,08/05/2025,2505-MX0158,2505-MX0158,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Waiheru,PPN,Include,4100001278,,D,1.00,CRT,24.00,PCS,0.00,"127,800.00","127,800.00","127,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"127,800.00","115,135.14","115,135.14",0.00,"115,135.14",0.00,"115,135.14","12,664.86","127,800.00",AMBON,AMBON
185.,FJ,08/05/2025,2505-MX0157,2505-MX0157,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Negeri Lama,PPN,Include,4100001284,,D,1.00,CRT,24.00,PCS,0.00,"111,600.00","111,600.00","111,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"111,600.00","100,540.54","100,540.54",0.00,"100,540.54",0.00,"100,540.54","11,059.46","111,600.00",AMBON,AMBON
186.,FJ,08/05/2025,2505-MX0157,2505-MX0157,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Negeri Lama,PPN,Include,4100000920,,D,1.00,CRT,16.00,PCS,0.00,"132,000.00","132,000.00","132,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"132,000.00","118,918.92","118,918.92",0.00,"118,918.92",0.00,"118,918.92","13,081.08","132,000.00",AMBON,AMBON
187.,FJ,08/05/2025,2505-MX0157,2505-MX0157,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Negeri Lama,PPN,Include,4100000909,,D,1.00,CRT,16.00,PCS,0.00,"132,000.00","132,000.00","132,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"132,000.00","118,918.92","118,918.92",0.00,"118,918.92",0.00,"118,918.92","13,081.08","132,000.00",AMBON,AMBON
188.,FJ,08/05/2025,2505-MX0157,2505-MX0157,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Negeri Lama,PPN,Include,4100001278,,D,1.00,CRT,24.00,PCS,0.00,"127,800.00","127,800.00","127,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"127,800.00","115,135.14","115,135.14",0.00,"115,135.14",0.00,"115,135.14","12,664.86","127,800.00",AMBON,AMBON
189.,FJ,08/05/2025,2505-MX0157,2505-MX0157,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Negeri Lama,PPN,Include,4100000442,,D,1.00,BAL,1.00,BAL,0.00,"69,000.00","69,000.00","69,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"69,000.00","62,162.16","62,162.16",0.00,"62,162.16",0.00,"62,162.16","6,837.84","69,000.00",AMBON,AMBON
190.,FJ,08/05/2025,2505-MX0157,2505-MX0157,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Negeri Lama,PPN,Include,4100001396,,D,2.00,RTG,24.00,PCS,0.00,"9,750.00","9,750.00","19,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,500.00","8,783.78","17,567.57",0.00,"17,567.57",0.00,"17,567.57","1,932.43","19,500.00",AMBON,AMBON
191.,FJ,08/05/2025,2505-MX0157,2505-MX0157,KV00715,PT.BETA MART ABADI,PASSO,,,SL12,FENDRY,Negeri Lama,PPN,Include,4100001397,,D,2.00,RTG,24.00,PCS,0.00,"9,750.00","9,750.00","19,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,500.00","8,783.78","17,567.57",0.00,"17,567.57",0.00,"17,567.57","1,932.43","19,500.00",AMBON,AMBON
201.,FJ,08/05/2025,2505-MX0156,2505-MX0156,YON--0001,WALE,BENTAS,,,SL12,Erwin Taneo,,PPN,Include,4100001212.,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,300.00","92,162.16","92,162.16",0.00,"92,162.16",0.00,"92,162.16","10,137.84","102,300.00",AMBON,AMBON
202.,FJ,08/05/2025,2505-MX0156,2505-MX0156,YON--0001,WALE,BENTAS,,,SL12,Erwin Taneo,,PPN,Include,4100001206,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,300.00","92,162.16","92,162.16",0.00,"92,162.16",0.00,"92,162.16","10,137.84","102,300.00",AMBON,AMBON
203.,FJ,08/05/2025,2505-MX0156,2505-MX0156,YON--0001,WALE,BENTAS,,,SL12,Erwin Taneo,,PPN,Include,41000001424,,D,1.00,BALL,12.00,PAK,0.00,"90,000.00","90,000.00","90,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"90,000.00","81,081.08","81,081.08",0.00,"81,081.08",0.00,"81,081.08","8,918.92","90,000.00",AMBON,AMBON
204.,FJ,08/05/2025,2505-MX0156,2505-MX0156,YON--0001,WALE,BENTAS,,,SL12,Erwin Taneo,,PPN,Include,4100001425,,D,1.00,BAL,12.00,PAK,0.00,"100,000.08","100,000.08","100,000.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"100,000.08","90,090.16","90,090.16",0.00,"90,090.16",0.00,"90,090.16","9,909.92","100,000.08",AMBON,AMBON
205.,FJ,08/05/2025,2505-MX0156,2505-MX0156,YON--0001,WALE,BENTAS,,,SL12,Erwin Taneo,,PPN,Include,4100001151,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,300.00","92,162.16","92,162.16",0.00,"92,162.16",0.00,"92,162.16","10,137.84","102,300.00",AMBON,AMBON
43.,FJ,09/05/2025,2505-MX0206,2505-MX0206,110--KIO0728,KIOS BAPA ED ( KONTAN ),LEMBAH ARGO,,,SL12,Erwin Taneo,,PPN,Include,4100001128,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",42.00,"42,966.00",8.00,"4,746.72",0.00,0.00,0.00,0.00,0.00,0.00,"47,712.72","54,587.28","92,162.16","92,162.16","42,984.43","49,177.73",0.00,"49,177.73","5,409.55","54,587.28",AMBON,AMBON
60.,FJ,09/05/2025,2505-MX0215,2505-MX0215,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100000909,,D,25.00,CRT,400.00,PCS,0.00,"132,000.00","132,000.00","3,300,000.00",15.00,"19,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"495,000.00","2,805,000.00","118,918.92","2,972,972.98","445,945.95","2,527,027.03",0.00,"2,527,027.03","277,972.97","2,805,000.00",JAKARTA,JAKARTA
61.,FJ,09/05/2025,2505-MX0215,2505-MX0215,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100000920,,D,16.00,CRT,256.00,PCS,0.00,"132,000.00","132,000.00","2,112,000.00",15.00,"19,800.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"316,800.00","1,795,200.00","118,918.92","1,902,702.71","285,405.41","1,617,297.30",0.00,"1,617,297.30","177,902.70","1,795,200.00",JAKARTA,JAKARTA
62.,FJ,09/05/2025,2505-MX0215,2505-MX0215,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100001151,,D,6.00,CRT,360.00,PCS,0.00,"102,300.00","102,300.00","613,800.00",3.00,"3,069.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"18,414.00","595,386.00","92,162.16","552,972.97","16,589.19","536,383.78",0.00,"536,383.78","59,002.22","595,386.00",JAKARTA,JAKARTA
75.,FJ,09/05/2025,2505-MX0185,2505-MX0185,110--RM.0314,RM. ALAM HIJAU,SBLM LIBERTI LAHA SBLH KIRI,,,SL12,Erwin Taneo,,PPN,Include,4100001212.,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,300.00","92,162.16","92,162.16",0.00,"92,162.16",0.00,"92,162.16","10,137.84","102,300.00",AMBON,AMBON
80.,FJ,09/05/2025,2505-MX0216,2505-MX0216,BY0001,BUYUNG KANVAS,PASSO,,,SL10,Erwin Taneo,Uwa Adel,PPN,Include,4100000073,,D,6.00,BTL,6.00,BTL,0.00,"8,700.00","8,700.00","52,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"52,200.00","7,837.84","47,027.03",0.00,"47,027.03",0.00,"47,027.03","5,172.97","52,200.00",AMBON,AMBON
88.,FJ,09/05/2025,2505-MX0213,2505-MX0213,CUST0024,CV. REJEKI CEMERLANG,JL. AY. PATTY,,,SL12,Erwin Taneo,,PPN,Include,4100001079NEW,,D,12.00,PCS,12.00,PCS,0.00,"5,750.00","5,750.00","69,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"69,000.00","5,180.18","62,162.16",0.00,"62,162.16",0.00,"62,162.16","6,837.84","69,000.00",AMBON,AMBON
89.,FJ,09/05/2025,2505-MX0213,2505-MX0213,CUST0024,CV. REJEKI CEMERLANG,JL. AY. PATTY,,,SL12,Erwin Taneo,,PPN,Include,4100000885NEW,,D,12.00,PCS,12.00,PCS,0.00,"5,750.00","5,750.00","69,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"69,000.00","5,180.18","62,162.16",0.00,"62,162.16",0.00,"62,162.16","6,837.84","69,000.00",AMBON,AMBON
90.,FJ,09/05/2025,2505-MX0213,2505-MX0213,CUST0024,CV. REJEKI CEMERLANG,JL. AY. PATTY,,,SL12,Erwin Taneo,,PPN,Include,4100000056,,D,6.00,BTL,6.00,BTL,0.00,"8,700.00","8,700.00","52,200.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"52,200.00","7,837.84","47,027.03",0.00,"47,027.03",0.00,"47,027.03","5,172.97","52,200.00",AMBON,AMBON
91.,FJ,09/05/2025,2505-MX0213,2505-MX0213,CUST0024,CV. REJEKI CEMERLANG,JL. AY. PATTY,,,SL12,Erwin Taneo,,PPN,Include,4100000804,,D,1.00,CRT,240.00,PCS,0.00,"214,512.00","214,512.00","214,512.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"214,512.00","193,254.05","193,254.05",0.00,"193,254.05",0.00,"193,254.05","21,257.95","214,512.00",AMBON,AMBON
